date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-02-19 00:00:00+00:00,187.28,188.18,186.47,188.06,29997471,183.8964467743,184.7801866403,183.101080895,184.6623546581,29997471,0.51,1.0
2020-02-20 00:00:00+00:00,184.42,187.25,181.1,186.95,36862376,181.0881178669,183.8669887788,177.8280996947,183.5724088235,36862376,0.0,1.0
2020-02-21 00:00:00+00:00,178.59,183.5,177.25,183.17,48600385,175.3634474019,180.1847393373,174.0476569348,179.8607013864,48600385,0.0,1.0
2020-02-24 00:00:00+00:00,170.89,174.55,163.23,167.77,68311066,167.802561882,171.3964373369,160.2809536895,164.7389303467,68311066,0.0,1.0
2020-02-25 00:00:00+00:00,168.07,174.84,167.65,174.2,68073295,165.033510302,171.6811979604,164.6210983646,171.0527607224,68073295,0.0,1.0
2020-02-26 00:00:00+00:00,170.17,173.26,168.21,169.71,56387148,167.0955699892,170.129743529,165.1709809478,166.6438807244,56387148,0.0,1.0
2020-02-27 00:00:00+00:00,158.18,167.03,157.98,163.32,93174906,155.3221911083,164.0122997902,155.1258044714,160.3693276761,93174906,0.0,1.0
2020-02-28 00:00:00+00:00,162.01,163.71,152.0,152.41,97073557,159.0829952045,160.752281618,149.2538440287,149.6564366343,97073557,0.0,1.0
2020-03-02 00:00:00+00:00,172.79,172.92,162.31,165.31,71030810,169.6682349324,169.7958862463,159.3775751599,162.3233747131,71030810,0.0,1.0
2020-03-03 00:00:00+00:00,164.51,175.0,162.26,173.8,71677019,161.5378281655,171.8383072699,159.3284785006,170.6599874486,71677019,0.0,1.0
2020-03-04 00:00:00+00:00,170.55,170.7,165.62,168.49,49814383,167.4687045993,167.615994577,162.6277740002,165.4459222395,49814383,0.0,1.0
2020-03-05 00:00:00+00:00,166.27,170.87,165.69,166.05,47817251,163.2660305701,167.7829232183,162.6965093231,163.0500052695,47817251,0.0,1.0
2020-03-06 00:00:00+00:00,161.57,163.11,156.0,162.61,72821057,158.6509446034,160.1631217074,153.1815767663,159.6721551152,72821057,0.0,1.0
2020-03-09 00:00:00+00:00,150.62,157.75,150.0,151.0,70419274,147.8987762342,154.899959839,147.2899776599,148.2719108443,70419274,0.0,1.0
2020-03-10 00:00:00+00:00,160.92,161.03,152.58,158.16,65354385,158.0126880335,158.1207006838,149.8233652757,155.3025524446,65354385,0.0,1.0
2020-03-11 00:00:00+00:00,153.63,157.7,151.15,157.13,56504304,150.8543951193,154.8508631798,148.419200822,154.2911612647,56504304,0.0,1.0
2020-03-12 00:00:00+00:00,139.06,153.47,138.58,145.3,93226366,136.5476286226,150.6972858098,136.0763006941,142.6748916932,93226366,0.0,1.0
