date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-01-02 00:00:00+00:00,1368.68,1368.68,1346.49,1348.41,1364265,1368.68,1368.68,1346.49,1348.41,1364265,0.0,1.0
2020-01-03 00:00:00+00:00,1361.52,1373.75,1347.32,1348.0,1170629,1361.52,1373.75,1347.32,1348.0,1170629,0.0,1.0
2020-01-06 00:00:00+00:00,1397.81,1398.32,1351.0,1351.63,2339343,1397.81,1398.32,1351.0,1351.63,2339343,0.0,1.0
2020-01-07 00:00:00+00:00,1395.11,1403.5,1391.56,1400.46,1726456,1395.11,1403.5,1391.56,1400.46,1726456,0.0,1.0
2020-01-08 00:00:00+00:00,1405.04,1411.85,1392.63,1394.82,1766274,1405.04,1411.85,1392.63,1394.82,1766274,0.0,1.0
2020-01-09 00:00:00+00:00,1419.79,1428.68,1410.21,1421.93,1661438,1419.79,1428.68,1410.21,1421.93,1661438,0.0,1.0
2020-01-10 00:00:00+00:00,1428.96,1434.94,1419.6,1429.47,1313178,1428.96,1434.94,1419.6,1429.47,1313178,0.0,1.0
2020-01-13 00:00:00+00:00,1440.03,1441.48,1425.37,1435.25,1525568,1440.03,1441.48,1425.37,1435.25,1525568,0.0,1.0
2020-01-14 00:00:00+00:00,1430.59,1442.63,1427.77,1440.0,1305636,1430.59,1442.63,1427.77,1440.0,1305636,0.0,1.0
2020-01-15 00:00:00+00:00,1439.2,1440.78,1431.66,1433.02,1077519,1439.2,1440.78,1431.66,1433.02,1077519,0.0,1.0
2020-01-16 00:00:00+00:00,1450.16,1450.7,1440.0,1445.45,1304040,1450.16,1450.7,1440.0,1445.45,1304040,0.0,1.0
2020-01-17 00:00:00+00:00,1479.52,1480.55,1456.55,1462.54,2621175,1479.52,1480.55,1456.55,1462.54,2621175,0.0,1.0
2020-01-21 00:00:00+00:00,1482.25,1489.88,1470.21,1479.0,2387178,1482.25,1489.88,1470.21,1479.0,2387178,0.0,1.0
2020-01-22 00:00:00+00:00,1484.17,1500.58,1482.66,1489.73,1422946,1484.17,1500.58,1482.66,1489.73,1422946,0.0,1.0
2020-01-23 00:00:00+00:00,1484.69,1493.5,1480.32,1487.55,1332562,1484.69,1493.5,1480.32,1487.55,1332562,0.0,1.0
2020-01-24 00:00:00+00:00,1466.17,1494.2,1463.18,1492.82,1489280,1466.17,1494.2,1463.18,1492.82,1489280,0.0,1.0
2020-01-27 00:00:00+00:00,1431.73,1436.58,1419.5,1431.54,1706566,1431.73,1436.58,1419.5,1431.54,1706566,0.0,1.0
2020-01-28 00:00:00+00:00,1450.5,1454.8,1430.36,1441.74,1486586,1450.5,1454.8,1430.36,1441.74,1486586,0.0,1.0
2020-01-29 00:00:00+00:00,1456.7,1464.14,1445.38,1458.46,1081964,1456.7,1464.14,1445.38,1458.46,1081964,0.0,1.0
2020-01-30 00:00:00+00:00,1454.25,1455.25,1435.0,1438.1,1355472,1454.25,1455.25,1435.0,1438.1,1355472,0.0,1.0
2020-01-31 00:00:00+00:00,1432.78,1469.67,1427.06,1467.86,2191075,1432.78,1469.67,1427.06,1467.86,2191075,0.0,1.0
2020-02-03 00:00:00+00:00,1482.6,1486.3,1456.61,1461.65,3608760,1482.6,1486.3,1456.61,1461.65,3608760,0.0,1.0
2020-02-04 00:00:00+00:00,1445.41,1467.34,1422.03,1454.49,4793967,1445.41,1467.34,1422.03,1454.49,4793967,0.0,1.0
2020-02-05 00:00:00+00:00,1446.05,1464.58,1429.67,1463.61,1818793,1446.05,1464.58,1429.67,1463.61,1818793,0.0,1.0
2020-02-06 00:00:00+00:00,1475.97,1481.56,1450.48,1451.98,1891079,1475.97,1481.56,1450.48,1451.98,1891079,0.0,1.0
2020-02-07 00:00:00+00:00,1479.11,1485.24,1465.41,1467.38,1418049,1479.11,1485.24,1465.41,1467.38,1418049,0.0,1.0
2020-02-10 00:00:00+00:00,1508.66,1508.88,1475.2,1477.23,1915072,1508.66,1508.88,1475.2,1477.23,1915072,0.0,1.0
2020-02-11 00:00:00+00:00,1510.06,1529.88,1505.45,1513.27,1742647,1510.06,1529.88,1505.45,1513.27,1742647,0.0,1.0
2020-02-12 00:00:00+00:00,1518.63,1520.3,1508.67,1515.86,1552136,1518.63,1520.3,1508.67,1515.86,1552136,0.0,1.0
2020-02-13 00:00:00+00:00,1513.39,1525.95,1504.0,1510.0,1145658,1513.39,1525.95,1504.0,1510.0,1145658,0.0,1.0
2020-02-14 00:00:00+00:00,1518.73,1520.05,1505.55,1514.53,1159857,1518.73,1520.05,1505.55,1514.53,1159857,0.0,1.0
2020-02-18 00:00:00+00:00,1519.44,1530.56,1511.01,1514.34,1284011,1519.44,1530.56,1511.01,1514.34,1284011,0.0,1.0
2020-02-19 00:00:00+00:00,1524.87,1530.74,1520.98,1527.2,1137338,1524.87,1530.74,1520.98,1527.2,1137338,0.0,1.0
2020-02-20 00:00:00+00:00,1516.99,1527.07,1504.26,1519.01,1298386,1516.99,1527.07,1504.26,1519.01,1298386,0.0,1.0
2020-02-21 00:00:00+00:00,1483.46,1510.94,1478.49,1504.58,2126843,1483.46,1510.94,1478.49,1504.58,2126843,0.0,1.0
2020-02-24 00:00:00+00:00,1419.86,1436.38,1406.79,1423.05,2478039,1419.86,1436.38,1406.79,1423.05,2478039,0.0,1.0
2020-02-25 00:00:00+00:00,1386.32,1436.85,1380.42,1431.0,2578966,1386.32,1436.85,1380.42,1431.0,2578966,0.0,1.0
2020-02-26 00:00:00+00:00,1390.47,1413.67,1376.55,1394.98,2490178,1390.47,1413.67,1376.55,1394.98,2490178,0.0,1.0
2020-02-27 00:00:00+00:00,1314.95,1369.4,1314.24,1359.14,3114476,1314.95,1369.4,1314.24,1359.14,3114476,0.0,1.0
2020-02-28 00:00:00+00:00,1339.25,1342.45,1268.21,1274.31,4010900,1339.25,1342.45,1268.21,1274.31,4010900,0.0,1.0
2020-03-02 00:00:00+00:00,1386.32,1387.47,1325.2,1351.39,2771463,1386.32,1387.47,1325.2,1351.39,2771463,0.0,1.0
2020-03-03 00:00:00+00:00,1337.72,1408.19,1329.24,1397.68,2830112,1337.72,1408.19,1329.24,1397.68,2830112,0.0,1.0
2020-03-04 00:00:00+00:00,1381.6,1382.78,1337.0,1358.96,2379856,1381.6,1382.78,1337.0,1358.96,2379856,0.0,1.0
2020-03-05 00:00:00+00:00,1314.76,1353.63,1301.64,1345.55,2718982,1314.76,1353.63,1301.64,1345.55,2718982,0.0,1.0
2020-03-06 00:00:00+00:00,1295.74,1302.75,1257.21,1269.95,3232315,1295.74,1302.75,1257.21,1269.95,3232315,0.0,1.0
2020-03-09 00:00:00+00:00,1215.79,1252.73,1198.04,1204.96,3462578,1215.79,1252.73,1198.04,1204.96,3462578,0.0,1.0
2020-03-10 00:00:00+00:00,1275.17,1275.85,1214.51,1254.39,2743566,1275.17,1275.85,1214.51,1254.39,2743566,0.0,1.0
2020-03-11 00:00:00+00:00,1210.9,1256.93,1191.14,1248.27,2741694,1210.9,1256.93,1191.14,1248.27,2741694,0.0,1.0
2020-03-12 00:00:00+00:00,1111.55,1188.75,1108.47,1122.62,4716293,1111.55,1188.75,1108.47,1122.62,4716293,0.0,1.0
